feedback,Category
"I was looking for something deeper knowledge about AdWords but I find out this course is perfect for Beginners. So if you have not used AdWords before, this is gold mine for you!",Positive
I love my Apple Air Tag…I have mine on my keys… so I can always know where my keys are..I just bought my husband one too and he loves his too. And we also know where each others keys are at…,Positive
"This is the best addition to any MacBook Pro ever! The pad is extremely awkward to use if you're a first time MacBook Pro owner. This is our first MacBook Pro and it has a learning curve that you have to get use to using if you want to use the love that it is wireless via Bluetooth and eliminates the need for using one of the few USB ports on the MacBook Pro. It makes using your MacBook more convenient and easy to navigate than using the pad that is built into the laptop. Our MacBook Pro is the space gray version and we bought the same color mouse. I've used the wired mouse on the older Apple Mini Macs in the past and it was just a little bit different than what I was use to using which was a Windows OS mouse. If you're a first time MacBook Pro user, you should invest in this mouse. The charge is great and last for several days or hours depending on how long you use your MacBook. The pad is a real learning curve and this will help eliminate a lot of frustration when you are a new MacBook Pro owner.As far as gaming goes, I can't exactly say how well it works as I am not a gamer. But the response time , in my opinion, is fast and I think there are other options for gamers that are really into gaming that own a MacBook Pro and I'm sure they are aware of those options.I have owned three apple desktop counting the latest MacBook Pro and those both had a wired mouse and keyboard that was separate from the Mini Mac. Sitting down with my new laptop was quite a different experience than the other Apple desktop's that we have had in the past and it is not like a Windows laptop in the way the pad works , but this was worth the price of not relying on the built in touchpad which I had a lot of learning to do if I was going to rely on the MacBook Pro built in pad.  Not a big fan of the white keyboard and mouse as we have had two different sets of the white items and they start to look kind of dirty after a few months of use. The one thing I absolutely miss about the older Mac Minis that ran on the Intel processor is that the newer M3 chipsets don't have the ability to run Parallel's which most people know what that means. I don't really miss the ability to use Windows on my MacBook Pro now anyway because it was always the source of all of the problems we had with the older Mac minis in terms of malware and viruses. I do however miss the CD or DVD drive as well because I have a lot of Japanese MQA CDs and they can be unfolded to enjoy the full potential with a external drive and the software that you can buy for the MacBook Pro. It gets the most use as a MQA decoder than any other type of computer usage. We have the newest iPad Pro versions and they are almost as good as the MacBook Pro. I have heard that the newer versions that are coming out are going to be basically the “MacBook Pro Killer” as they are supposedly going to have a lot more RAM and powerful processors and the ability to run programs that only a desktop or MacBook Pro can handle now. But I think the price point is probably going to be outrageous for most people.My only regret is that I didn't get the MacBook Pro Bluetooth keyboard in the space gray when they were more a available, because they are extremely hard to find now and expensive in comparison to the standard white model. The keyboard has to have the finger print reader on it as I would like to sit in in a cradle instead of having it opened up on my workstation. So that makes it even more difficult to find and expensive. I have seen used ones sell for twice the price of the new white version, but it is the only thing that is really left to buy for this set up.",Positive with Suggestion
"I knew nothing about Adwords going into this course, but now I feel fairly confident that I can create some good ad campaigns. Thank you for this great resource!",Positive
Translate review to English,Negative with Suggestion
Bought this for a friend and she is absolutely in love with it so much easier to use than a 40 oz. So much easier to lift once it's filled. The color is beautiful too,Positive
I was a little suspicious buying something like this off of Amazon but the other reviews were promising. It ended up being just fine. I used it to put into my checked luggage and it added an extra sense of security knowing that I could keep an eye on my personal belongings while traveling. Some times it would take a little longer to update but I did not experience any long term issues. Good gift to get someone too! I will be getting more. Arrived in good condition.,Positive with Suggestion
"Just what I needed, my dog is a little escape artist.  Now I know where he is at all times.",Positive
"First class was a fraud. Dirty plane that was delayed by over 6 hours( not their fault; bad weather) . Waited for over 1.5 hours on the plane in bitterly cold weather (-18 degrees)with no blankets, warm drinks or information.Plane was stack on the tarmac for apparent 'repairs'.Asked for a blanket because the open door was letting cold air into the plane and was told they had no blanket or pillow ( in first class) because it was an 'internal ' flight! Asked for a coffe and was told to wait until we were airborne ( after 6 hours' delay)! No snacks or drinks when held on plane with no idea when we would be taking off. What a FRAUD United first class  is! Third world airlines would do a far much better job than this! Emirates or Qatar would clean the floor with United! United is a fraudulent joke. Avoid avoid avoid united",Negative
my baby favorite,Positive
"Perfect for keeping track of your valuable items, such as a wallet or suitcase. Easy to connect to phone and track. Very durable and long range!",Positive
"Utter BS, who'd use this app if they don't even allow to choose songs of our own. Deleting it right away.",Negative
"It was found Johnson and Johnson put cancer causing ingredients in sunscreens, which they also sell treatment for, so we stopped all J&J products if they don't care about that.  Aveeno may be okay but we swapped anyway to someone with a conscious",Negative
"It is very informative. The instructor explains in a good, easy and clear way.he is to the point . He doesn't repeat himself and waste my time . You will benefit from every minute.",Positive
"I have been using the Aveeno Baby Daily Moisture Bath Wash & Shampoo for my child for the past two years, and it has been amazing! The formula is gentle, tear-free, and hypoallergenic, making it perfect for sensitive skin. It cleans effectively without drying out the skin, leaving it soft, smooth, and well-hydrated after every bath.The light scent is pleasant and not overpowering, and I love that it's paraben-free and made with natural oat extract. It lathers well and rinses off easily, making bath time quick and hassle-free.Overall, this is a fantastic baby wash that I highly recommend to any parent looking for a safe and nourishing option for their little one!",Positive
My go to baby wash with all my babies,Positive
"The shoes are great! Authentic, exactly what my husband wanted. The shipping however, kept getting delayed and I waited almost a month longer than what the shipping date was originally supposed to be.",Positive with Suggestion
This course was very helpful. I learned so much and now better understand how AdWords works and how to best optimize the campaigns we are running.,Positive
"Thanks to United Airlines for taking the time to make our trip into a nightmare. I hope that this review will help you avoid the insane level of anxiety this experience has caused.I previously had a good experience with Lufthansa Airlines and chose to book a trip with them again, or so I thought. The flight was advertised as Lufthansa, but in reality, it was a Lufthansa flight “operated by United Airlines.” I had not used them before but figured they should be good as they were chosen as a partner with my preferred airline—mistake number one.At the airport, there were only kiosks to check in. I flagged down an employee—a rude woman ordered us to produce the credit card we used to pay for the trip. She took the card, shoved it into the machine, pointed at the screen as if we should have known that, then walked away.We boarded our first plane. The seats were cramped. The flight crew was pretty cold and uncaring, bordering on rude. The inflight service was a small cup of generic, flat soda or juice that tasted like wastewater. But thankfully, we had two families with screaming children and parents who were blissfully unaware that everyone on the flight hated them.The connecting flight was a nine-hour hellscape with the same screaming children, oblivious parents, but different yet still rude flight attendants. They had two meal options and ran out of one. They said we would have to wait until the business class passengers were served to see if anything was left, but “no promises.”When we reached the destination country, the third leg was on an actual Lufthansa plane, and the experience was like night and day. The staff was friendly and talkative, with a sense of humor. It was a good experience that we were expecting.For the return flights, each United plane was delayed for various reasons. When we tried to find our gate (not marked on the boarding pass), the staff told us to go upstairs. When asked which way, we were sarcastically told, “It doesn't matter.” We luckily found an airport police officer who guided us in the right direction. We reached the connecting plane and were among the last three or four people to board. When we opened the compartment above our seats, the flight attendant screamed, “If the lid is closed, it is full!” No offer of help at all.They closed the doors, and ten mins later, the Captain announced that the plane (that we were on) arrived with mechanical problems, and they could not fix them, so everyone would have to deplane and move to another gate about a half-mile away. No one was pleased. We arrived and had to wait for the flight crew to show up and pretend nothing was wrong.Arriving at our final destination (home), we were directed to where to pick up our luggage. We discovered they did not forward the bags because apparently *WE* did not tell them to (despite having connecting flights). Our luggage was still halfway across the country. We gave them our info, and they said they would track them and deliver them the next day.The next day only 1 bag is delivered. No one has a clue there are supposed to be 2, despite us providing both tracking numbers on the receipt they gave us. I called, and after a 45 min hold, I was told the second bag was not forwarded because *we* did not tell them to forward it with the first one. The person on the phone said they would look into it and said the DELIVERY company would call me. The delivery person calls and says they were only given one bag and knew nothing about the other. I call again, and another person said that the second bag was in the other airport because, again, *we* did not have it forwarded. After some intense conversation, he says he will request it to be shipped and delivered. The next day comes and goes, and no bag. I called back (another long hold session) and found that it was NOT forwarded because (you guessed it) *we* did not request it to be forwarded. Fast forward to three days later, I have *FINALLY* received the bag. The delivery company was kind and understanding, but not a peep from the damn airline that caused this misery.This experience has been, without a doubt, the worst experience with any airline. This was our FIRST experience with United Airlines and our LAST one. Do yourself a favor. Avoid United Airlines at all costs. You will thank me.",Negative
Like Nike takes some time to break them in but feel good,Positive
"ok, this app is great and awesome because it's fully free. But is it so great when finding what you wanna watch? yes, they ALWAYYYYS take out the good and the only shows/movies people want to watch, like what the? I understand people might think “how else are they gonna make money?” “they can't give us the best app ever” I understand but they seriously have to take out the least popular ish ones. they've been making people upset over the good shows/ movies, but they actually have to make a downloaded feel welcomed and happy.",Negative with Suggestion
Perfect for babies with sensitive skin like mine!,Positive
Right pacing.  very easy to follow and understand. I want more examples though but I understand that it will increase the length of the video.,Positive with Suggestion
"My granddaughter always wanted a Stanley Cup. I purchased this pink cup for her. It was exactly how I saw it on the website big enough to hold water for her all day. Kept her drinks cold while she was in school. Only thing is that when the drop the cup the liquids will spill out. This stanley cup however, is not leak proof but it's still a great cup.",Positive with Suggestion
Great mouse.  It's smooth and works really well.  I just wish I could figure out the scroll.,Positive with Suggestion
Absolutely love them long time Nike wearer and so far these are the best highly recommend.,Positive
Will never book United again. You're being punished for booking Economy. My flight is at 6.15 AM in the morning and this company won't let me check in online because I'm not checking a bag. You know how that looks United. It looks like you don't trust your customers. I WILL NEVER BOOK UNITED AGAIN!,Negative
"Smells so good, keeps skin mostarized . Baby likes it too! Pump works fine.",Positive
"It's my account and when our Wi-Fi goes out because we live in the country and I have to buy extra hot spot on my phone I cannot verify another tv bc I'm only using the one on the hotspot 
Why am I being asked to verify my tv every other week this is the fifth time?!!!! Plz stop doing this or I'm leaving Netflix my parents are older and they are tired of doing the same update as well",Negative
The free tools (ubersuggest & spyfu) he provided are very useful. It would of been great if he went more in depth into Keyword Research and Competitive Analysis.,Positive with Suggestion
"Good guide for learning by doing. Google adwords is still fairly intimidating software, by the nature of not explaining everything from scratch, but I feel comfortable with the basics.",Positive with Suggestion
Enjoy how every aspect is being covered. Great for beginners who need to make sense of the AdWords world,Positive
Love the brand. This is the only brand I can use on my babies skin without him breaking out. I with I could afford the whole line every month for him but I do use the body wash/shampoo every morning and every night for my son.,Positive with Suggestion
Tried using an off-brand magic mouse first and was causing power issues with my Macbook so I opted for the more expensive Apple Magic Mouse that I was used to from my previous job. Works great. I am a video editor and I love being able to scroll without a wheel in the direction that I need without having to hold down a keyboard button to change directions between horizontal or vertical scrolling. My only complaint with the Apple Magic Mouse is the charging location which is on the bottom and renders the mouse useless while charging. This has been a problem ever since they created these but thankfully the battery lasts a long time before needing to recharge. This is definitely my favorite mouse to use with a Macbook.,Positive with Suggestion
"I find trying to maintain streaks in apps stressful and anxiety producing. I meditate to when I can and to help myself, and not meditating one day is not a failure, it's just a day I didn't meditate.

I was so happy to find Calm had a setting to turn off streaks. I turned it off immediately and enjoyed not being guilt tripped by a relaxation app.

Welp, the latest update launched and immediately prompted me to add a “goal” of three Calm meditations per week, and added a seven day checklist at the top of the home tab. :( now I can't even open the app without it guilting me towards obsess e behavior :(",Negative
"Everytime I'm touching screen showing ""Explore premium"" 🙄😖",Negative
"My kids love them, I love that it gives me some kid free time time! Haha They keep my five year old twins busy for long stretches of time. They are durable, bright colors, packaged nicely with the colors separated. The container they come in isn't full all the way so you can add more Legos later on and have a place to keep them all together. I thought the price was fair also.",Positive
"Netflix has a year to win me back.

I was an early subscriber to Netflix streaming, and went for years with little to no service cancellations. I loved it.

Then I had to let it go for a couple months, back in 2022. For financial reasons. 

Well, someone hacked my account, changed the language, added 10 other accounts, resumed &amp; Upgraded my service…

 and Netflix blamed me.

Seriously they only offered THE DIFFERENCE in what I normally pay, not a full refund. Even though I was CLEARLY hacked &amp; had OBVIOUSLY ended my account a couple months back. When I said not to pay the differences my bank could handle it, they refunded that small amount anyway, and then tried to do a full refund after my bank put in a FRAUD CLAIM.

Like. The app is fine. Im mildy interested in the game library that didn't exist last time I had the service. They are the trailblazers of streaming, and the app still reflects that. 

The quality is there. But don't fall in love with their shows cuz they might get cancelled, and watch your bank account for charges you didn't authorize.",Negative with Suggestion
Translate review to English,Negative with Suggestion
My flight ua31 was cancelled on 2023-07-16. I have been waiting in line for 2 hours now to be rebooked and still a long way to go. No response from phone or text agents either.,Negative
"Might as well not have a chatbot. Doesn't work half the time, and when you can get connected with someone, expect to wait several minutes between responses. Calling the 800 number was even less helpful in my case. Was trying to ask a simple question which should've taken 5 minutes. Took 3 hours and still not resolved.",Negative
"We were at the airport @ 2:30 for a 3:30 flight. We were issued $20 dinner coupons that didn't work. They ran us up & down B concourse giving us 6 different gates.  Now it's 11:03PM , 7 1/2  hours late and finally boarding.   For a 3 1/2 hour flight.  Not acceptable performance. You would expect this from a startup airline. It's a good thing next time I will remember that we have choices.",Negative
"Awesome mouse. I love the way it works. The white looks great and the glass feels great. I think it's worth the money. The one problem I had was the packaging. When it arrived, the mouse was out of the box. The box was open and everything was spilled out around the rest of my package. Thankfully, somehow nothing was damaged, despite the box having no safe packaging material. Everything still works though",Positive with Suggestion
So far I had access to renew my membership thru my employer for &amp;14.99. Could never got it activated so I paid 49.99 to get access but it is still not working like it did before and talks about premium membership. I've paid plenty. I made calls and e-mails to try and get it fixed. I want the number to calm so I can talk to someone I'm person.  I have been very sick and really need this app to calm me down. Please someone help me?,Negative with Suggestion
"When I open calm it makes me feel welcome and safe. And every one 
Everywhere should be able to feel that so get calm it helps in so many ways for people like sleeping and calming also it help people who are alone and have know one to listen to so just thank you.",Positive
Just because they are money wh0res,Negative
"This is in reference to flight UA721 flying from Newark to Orlando. Avoid this airline if you can. They will delay your flight multiple times, and then they will cancel your flight (due to ""severe weather conditions,"" which from what I can see in Newark and what my husband can see in Orlando is nonsense). They have zero (I mean zero) consideration for their passangers. I actually feel embarrassed for them. They offer no food to compensate for the wait, and on top of that they have a bunch of unfriendly, unempathetic employees (the perfect employee for this pathetic excuse of an airline)--cogs that couldn't rise to the challenge to go beyond the level of a cog--working behind their counters. Their cobwebbed brains impede them from taking into consideration people's exhaustion or chronic illnesses that they might have. It's the kind of situation that makes you think that humanity is a disaster without any hope of redemption. If you have the money to choose another airline, do it.",Negative
So Far So Good.   Instructor seems knowledgeable and able to reley the information in ways that I understand.,Positive
Just subscribe and spend the money! Falling asleep to these stories or nature sounds is wonderful! I love being lulled to sleep by these story tellers and their wonderful voices. I never get to the end of the story … because I'M ASLEEP!  Best app ever invented! Slept like a baby minus the thumb sucking and bed wetting.,Positive
Extremely rude and unprofessional! I bought seat 9A on flight 2239 (IAH to SFO) on Nov 14th! And when I was on board they changed my seat to a middle seat! And when I asked for refund they said if you want refund I have to go to the back and put me between two very large people even tho they had free seats somewhere else! They behavior was so disgusting and rude!,Negative
"United airlines is horrible, the planes I have been on are much like spirit. Not comfortable and no entertainment or outlets - I'll stick with Delta which is a lot better",Negative
"Its very cute! very light, and it keeps my drinks cold, definitely worth it! i recommend handwashing instead of putting it in the dishwasher. Good quality",Positive with Suggestion
Translate review to English,Negative with Suggestion
More focused for subscription. Too much adds And they started subscription for surfing in specific part of song Worst app for free users,Negative
"It's an Apple Airtag, what can I say?  Easy to setup, will do what I need it to.",Positive
As a child I also wanted legos but my mom couldn't afford them! I was very surprised when my daughter wanted legos so I didn't hesitate to find them for her! I decided to buy her this as a starter and I must say it exceeded my expectations! Not only does it come with your standard Lego blocks but it comes with cool building and more as well! She plays with them everyday and they are easy to pick up and clean because the container dubs as storage when finished!,Positive
Delayed luggage on the 8th May 2022 - claim for expenses agreed on 14th December!! Still waiting for my money 31st Jan 2023. Was told it could be up to 45 days and when chased today was told due to the number of claims being handled - ie all the screw ups they continue to make - it could be 60 days. I live in hope. Shocking service and will never fly with UA again.,Negative
"I like Netflix, it's pretty good but the only thing I don't like about it is that you guys keep deleting shows. I can't believe that you guys got rid of operation ouch I loved it so much and the only thing I can watch it on is on YouTube and my parents won't let me on that but overall pretty dang good.",Positive with Suggestion
"This course teaches everything you need to know about AdWords. Also,  Corey provides a lot of different internet tools that will help you with your AdWords campaign. This course was well worth the money.",Positive
This attractive cup keeps its contents at the desired temperature and does not leak. It is well made and easy to use and wash. I recommend this cup.,Positive
"Intolerable it is, as they are now demanding remuneration for the recurring auditions of melodies. Presently, the facility to consecutively relish tunes from one's compilation has been withheld, and even the liberty to evade segments of a melody has been curtailed. Moreover, the sonic caliber of the melodies is dreadfully substandard, If one must expend a substantial sum for access to a scant selection of tunes, it would be prudent to consider transitioning to an alternative.",Negative
Felt bit older version of google ads discussed but the good thing is the course did cover a lot of basics which is very easy to understand.,Positive with Suggestion
As expected. Came with two idea books. Every color was individually wrapped. Great for gift.,Positive
"I love Netflix but some things could be added like of you don't want your child seeing a show, or movie you could band it. Also a comment section would be amazing you could tell people your opinion or the best parts. Netflix could also add themes I know the colors are black and red but it would be more fun if you could choose you own colors but overall this is a really good app would recommend!",Positive with Suggestion
"I will never fly united again. The lie, leave you strandad, and cause you to spend $$$$ at other airlines to fix their mistakes. All with never reimbursing anything they promised they would.",Negative
This is a really good app to watch movies and shows but the only thing you guys need to do is stop getting rid of really good movies! Why are you getting rid of them? Otherwise this is a great app to watch movies on if your bored.,Positive with Suggestion
These are great for jogging yet somewhat harsh on the feet. Good cross trainer.,Positive with Suggestion
Very good shoes feel good on my feet.,Positive
"this course is from 2014, it should be here, as google makes lot of changes in adwords in 2020. but i get to know some tricks & important fact, that was truly helpful",Positive with Suggestion
"Have a few meditation apps, but I keep coming back to this one! It has all soundscapes, sleepscapes, check ins, etc. Absolutely love how fresh this app still feels, no matter how many times I use it. Have not recommended any other app more than this one 🩵 Also, falling asleep to Idris Elba's voice is quite nice 🩷",Positive
Translate review to English,Negative with Suggestion
Excellent introductory course for Google Adwords. The course content and the professor were very clear and easy to follow. I highly recommend it!,Positive
"So far, it has been interesting. A lot of it I already know as I've worked in marketing for such a long time, but I signed up to this course as I've always had others set up adwords, I've just set the strategy, so I'm gaining some useful insights",Positive
Perfect color,Positive
My son goes through shoes like crazy and finding these on Amazon was great! They were cheaper than purchasing in store anywhere and fit him just right.,Positive
I have been using the free version of Calm for the last four years and just signed up for the premium subscription. My daughter likes having lots of different options for stories and music to listen to in the night.,Positive
Bought an international business class ticket with a local connection first. Was denied entry to the lounge because the international leg was with a partner airline. The boarding pass for the international flight was a united one. Will NEVER fly united again.,Negative
"Stanley Quencher Tumbler ReviewThe Stanley Quencher Tumbler has become a staple for staying hydrated on the go, and it's easy to see why. Designed with both style and practicality in mind, this tumbler offers features that cater to busy lifestyles while maintaining a sleek aesthetic.Pros: 1. Durability: True to Stanley's reputation, the tumbler is made with high-quality stainless steel that feels solid and long-lasting. 2. Insulation: It keeps beverages cold for up to 12 hours or hot for 7, making it perfect for all-day use. 3. Capacity: With sizes ranging up to 40 oz, it's great for anyone who wants to drink plenty of water (or coffee) without constant refills.Cons: 1. Price: While it's an investment, some might find it expensive compared to other tumblers. 2. Size: The larger models can feel a bit bulky to carry around. 3. Availability: The popularity of certain colors and designs sometimes makes them hard to find.Overall:The Stanley Quencher Tumbler is worth the hype for anyone looking for a reliable, stylish, and functional drink companion. It's especially great for those who are serious about hydration or want a product that can keep up with their active lifestyle.Would I recommend it? Absolutely—if you're willing to pay a bit more for quality and convenience.",Positive
"This is my second Stanley cup, and I got this one specifically for work—absolutely love it! It keeps my drinks cold all day, is super durable, and the handle makes it easy to carry around. The size is perfect for staying hydrated without constant refills. If you're on the fence, just get it—you won't regret it!",Positive
"The absolute worst!!! The price of my ticket kept going down and every time they charge $50 to get the price adjustment!!!! Right after 30 days, the flight went down $200 and they would not allow me to pay the $50 again to get the tickets for $200 less! Rude customer service! Chose another airline! United is awful!!",Negative
They arrived on time. Love my new shoes,Positive
"Never before and never again!!Never ….and I mean never….in booking literally hundreds of flights for dozens of people over 15 years have I ever been denied a standard carry on! Couldn't get a boarding pass until I paid $35 each and checked the carry on bags! The best any United rep had to say is I should have read the fine print. No waiver. No recourse. Pay or miss your flight. I'm a very even keeled guy, and respectful of service personnel….,but I've not been that upset in a looong time.Insult to injury, they asked multiple time for volunteers to check bags free at the gate 😡Definitely get the top-down-corporate-vibe from employees they could care less about your business….there's another sucker in line right behind you. So, enjoy your $140 GOTCHA fee (family of 4) because I will NEVER fly United again.",Negative
"Absolutely terrible customer service. Trying to get compensation for a 5 hour flight delay, 4th time trying to contact. Each time told something different. Doesn't look like they will be offering any compensation for the delay.What is most concerning is the breaches of data protection as my past trip details have been taken off my account (after my trip) and added onto someone else's account to which I do now know the person ans cannot access my previous flight details. My flight details aren't on United's system anymore, they think I was on a flight a whole year before I was to a completely different destination. VERY CONCERNED about their data protection and my details being associated with someone else's flights instead. This needs to be investigated",Negative
All my grandkids love Lego's and with this box the possibilities are endless!,Positive
"I had never used AirTags before, nor completely understood the application of AirTags to prevent theft, find your devices, or get an alert to your phone when leaving an item behind - such as your tagged wallet or keys.I tagged my keys and my wallet.  If I walk out the door without either item, I get an alert to my phone indicating I've left the item behind.  The AirTag can then by tracked by my phone and will direct me to the precise location of the item, such as my keys or wallet.Before AirTags? I used to search for items that fell behind the couch or that I dropped getting out of the car or credit cards (tagged wallet) that I left in the restaurant.  If my wallet were stolen, I would get a ""separation"" alert showing the location of the stolen wallet.  Of course, I would then immediately disable my credit cards.These provide a great piece of mind in my daily hectic life.  After I bought the first one, and learned how they worked, I bought two more (with cases) for my luggage.  You can also put a tag on your dog's collar or in your child's backpack.  The uses are endless.The price dropped from 29 dollars, or so, to 19.00 and you can get a similar discount for a 4 pack.  You won't regret it!",Positive
Great toy for a 5 year old to lean with,Positive
We've had this lego box for a few months now and it is still our families favorite thing to bring out and play with. We wish there were more figurines to create - but look forward to increasing our collection with the other boxes.,Positive with Suggestion
"Hello, So I think you should add back some movies people actually liked here so the movies are Coraline,The Lorax,Mean girls,Friday and all the other Fridays.Because I was so sad when Netflix took those movies off and I liked the old Barbie movie's too.",Negative with Suggestion
Have been using for a while now.  I love it!,Positive
He like this.,Positive
"this app Was perfect before and now because of this update tht removed basic features has become f#$ked up everyone hates this now remove the update, guys u can make money in a different way ,not by removing basic features! Ya'all will realise ur mistake soon",Negative with Suggestion
Good choice for my Granddaughters first set!,Positive
"Worst customer service I have ever encountered! First plane, pilot didn't show up, so I had to take a detour. Second plane had no AC and had to be jump started! Emergency landing in Dallas, where the guy that met us at the gate was extremely rude, even the flight attendant said she never met anyone so rude at the gate before. Got a hotel at 3:30am. Flight was supposed to leave at 1pm, (same rude person at the counter 😩) delayed till1:30, delayed again at 6pm! I got a flight with a different airline.",Negative
"Good, would like to see face of person giving course - show me yourself on video, more personal connection",Positive with Suggestion
At first I was questioning even writing a review for this product but after a recent mishap I can not recommend these more. I have one on my keys and put one in my checked bags for flights. Recently my bags were misplaced when I was flying back from Canada and the only reason they were able to get the bag back to me is because of my Airtag. They were able to call me from it and I was able to tell them my address and go tmy bags back. Can not recommend these more as they have already paid for themselves and saved me hundreds of dollars.,Positive
Very thorough explanation of Google Adwords. Can easily set up a campaign now and go beyond basic functionality to get the full benefit of adwords.,Positive
"Such a colorful set all the hues of the rainbow , including neutral colors. The amount of blocks that come with the set doesn't fill the container , yet there's plenty room to add more and it's great for storage either way . Came with all it's pieces and packaged neat.",Positive
It says my TV isn't a part of my network and won't work. It works on my phone. Sometimes updates make things worse and take away functionality. This is an example of that. Thanks for ruining my evening yet again! What a joke!,Negative
My great granddaughter loved this Lego set. She and her grandpa played with it for a long time.It was a birthday present for her 5th birthday..,Positive
"Value money above all else.Having sat in the economy and economy plus the seat room is awful in economy and worse yet, my assigned seat — for a flight where I specifically booked seat choice — the overhead was completely full. And not even with other peoples carry ons, literally with safety equipment. Why would you seat me where there is no room for my bags when I am paying for carry-on service as part of my ticket?Awfully disappointing and our flight has been delayed because of mechanical issues as well. Not exactly reassuring. Very disappointed.",Negative
"I absolutely love sleep stories but was wondering why on earth you would distort Michael Griffith's incredibly perfect voice on the latest Humphrey story. His voice on earlier recordings was just right. Oh Calm, you do so disappoint sometimes….but you still get 5 stars.",Positive with Suggestion
"Absolute dogwater, youre telling me I cant repeat songs without premium? Dumb",Negative
"The best way aside from garage sales to get your hands on bulk Legos.  This set is a great value, and has the typical Lego quality (can confirm that the smallest pieces WILL send you to the emergency room where they can remove the piece under anesthesia).Not great for hungry infants.",Positive
"I am a disabled person who travels with a mobility scooter. I proactively notified the ""Special Needs"" department and filled out the (customer wheelchair information) form relative to my scooter. In spite of my efforts to make it easy every flight began with mayhem. I found ALL the United gate agents lacked the knowledge / training when presented with my (common) scooter. In comparison, I have taken numerous international trips with Delta and American without any scooter related difficulties. The crowning blow occurred at the Brussels airport where I missed my connection due to an inexcusable wait for an aisle chair, (needed to get me off the plane). The (aisle chair) attendants tried their best to make up the time by rushing me through Customs and speeding through the airport while keeping their dispatcher informed of our ETA to the gate. Two family members, traveling with me to help, went ahead to the gate along with my carry-on bag and crutches, while I waited to get off the plane. They were already at the gate and checked in but would not board without me. As soon as I arrived the gate agents told my family ""Okay he's here, get on the plane!"" then they closed the gate IN MY FACE and my family /helpers were not allowed to leave the plane. Nine hours and two flights later I arrived at my destination. Additionally, on my return flight to IAD, United personal misplaced my scooter and it took them and hour to find it. I have deleted the United App from my phone as I cannot imagine ever needing it again. Confirmation #NE4ZN1",Negative
"Super easy to use and I put it on my pet in case anything happens. Luckily haven't had to use it much but I've checked it a couple of times and works perfect. I also get a notification when I “leave” it, just in case it's a mistake.",Positive
This is what you get when you board a UAL flight; a disgusting table tray uncleaned for who knows how many flights.,Negative
"Great value , great price , boys love them",Positive
"Style, quality, and still available after my first purchase of the same shoe in 2020!!!😉",Positive
How to ruin a perfect app- LESSONS BY SPOTIFY (Premium 🤡),Negative
Very comfortable,Positive
"Tried this app for one reason only: walking meditations on my Apple Watch. Ready for my walk, I started up the app, selected my walk duration, and hit play. Nothing ever started playing. Tried multiple times for over 5 minutes and the content just never loaded. I thought maybe the cellular connection on my watch was poor, but when I opened Apple's Fitness app, I was able to start playing a Time to Walk episode right away that I hadn't previously downloaded or anything. Tried Calm again when I got home. Still wouldn't load. Canceled my free trial and uninstalled the app.",Negative
"These are great to keep track of items that you need to find.  I have on my keychain, in my luggage and one is in my wallet.  I even have one that I have in a dog collar for travel in case of an accident or escape.  The issue with putting on a moving object is that it is not real time, it is delayed so it just gives you a general idea of where the moving object is.  I primary use for objects that I tend to misplace a lot.  I hit the find function on my phone a lot for my keys and it sends out a beeping sound and I go right to them.  Highly recommend as a economical way to keep track of those easy to misplace items.",Positive with Suggestion
The Apple AirTag is a great product at an affordable price. It's incredibly easy to use and works seamlessly for tracking your belongings. It also makes an excellent white elephant Christmas gift,Positive
"I was looking for a smart, straightforward, and thorough introductory course to AdWords. Corey's lectures delivered.",Positive
It's too bad that even magic mice die.  Apple accessories are way overpriced but necessary.,Negative
"I enjoyed the lessons here in this course, very impactful they were. However using a phone it's not clear enough but above all I loved it.",Positive with Suggestion
"the Stanley  (30 oz) has quickly become my go-to for staying hydrated throughout the day. The 30 oz capacity is just right, offering plenty of space for water, coffee, or any drink of choice. The handle is super convenient for carrying, and the straw makes sipping easy, especially while driving or at work. The insulation works wonderfully—my drinks stay cold for hours. It's durable, well-built, and fits perfectly in most car cup holders. Highly recommend it for anyone looking for a practical, stylish, and reliable tumbler!",Positive
Enjoyable with less hustle,Positive
"My daughter had her eye on a Stanley for about a year. She worked hard and it was a reward for good grades. We've had knockoff cups but this is worth it in my book. The color is just what she wanted, the pieces all come apart to make cleaning easier and it keeps water cold for long periods of time. She takes it to sports or whenever she is on the go. She loves it so much I bought my own.",Positive
This is a great way to have your belongings safe and know where it is at all times. It even makes an alarm noise to know where it is or alert someone that the belonging is lost. You can you the find my phone app to access this and is a great way to feel secure while on the go. Totally recommend it!,Positive
Legos are always as expected,Positive
"This cup did not arrive in a box which I find strange, so I do not know if it's been used or is new. As a senior citizen with COPD I take my health extra serious. This was purchased because I'll be traveling and needed one for my car. Now I have to sanitize it before I leave.",Negative
